iter	RMSE
0	0.9176087964
1	0.8910969375
2	0.8663963112
3	0.8430432763
4	0.820042151
5	0.7986804881
6	0.7791843946
7	0.7601234604
8	0.7421202244
9	0.7268680584
10	0.7118746263
11	0.6966673036
12	0.6832850694
13	0.6722618907
14	0.6598934031
15	0.6495155087
16	0.6377737186
17	0.6291226024
18	0.6211468658
19	0.6131918738
20	0.6063356839
21	0.5994174999
22	0.5931380538
23	0.5869457425
24	0.5807725358
25	0.5755439201
26	0.5704194328
27	0.5658583919
28	0.5612009966
29	0.5567253335
30	0.552326791
31	0.5486971596
32	0.5453777852
33	0.5411055023
34	0.5371828662
35	0.5342298163
36	0.5304000887
37	0.526627913
38	0.5230387264
39	0.5199207461
40	0.5170538419
41	0.5144524259
42	0.5128019617
43	0.5104339289
44	0.5077762922
45	0.5063620291
46	0.5040585679
47	0.5023359122
48	0.5008181536
49	0.4993343474
50	0.4974396317
51	0.4960302153
52	0.4937531629
53	0.4927796539
54	0.4913384354
55	0.4897744149
56	0.4883735172
57	0.4866046236
58	0.4847239163
59	0.4836757627
60	0.4818742944
61	0.4805565433
62	0.4793181016
63	0.4786895148
64	0.4778130438
65	0.4763887815
66	0.4752749921
67	0.4743870391
68	0.473676171
69	0.4729932942
70	0.4718969421
71	0.470927467
72	0.4698020614
73	0.4685372642
74	0.4675227642
75	0.4661990403
76	0.4652750706
77	0.4646224469
78	0.463606488
79	0.4625165607
80	0.4619322983
81	0.4611443085
82	0.4601938602
83	0.4595901359
84	0.4589105986
85	0.457697948
86	0.4567201612
87	0.4560801439
88	0.4550976982
89	0.4541993929
90	0.4537249707
91	0.4531236442
92	0.4523494868
93	0.4518772925
94	0.45117007
95	0.4507552711
96	0.4502115368
97	0.4499292529
98	0.4495321534
99	0.4485518851
100	0.4482510936
101	0.4477028196
102	0.4470603792
103	0.4466557631
104	0.4458746306
105	0.445404208
106	0.4447374605
107	0.4442701513
108	0.4431850407
109	0.4427431139
110	0.4422186103
111	0.4417593111
112	0.4409299639
113	0.4402764071
114	0.4397494213
115	0.4391552524
116	0.438774097
117	0.437743982
118	0.4370360694
119	0.4364061438
120	0.4358772276
121	0.4355780014
122	0.4350602
123	0.4345926135
124	0.4341197992
125	0.4336988408
126	0.433448771
127	0.4330567889
128	0.4324831176
129	0.4318625416
130	0.4315048193
131	0.4310900693
132	0.4306903254
133	0.4296863334
134	0.4287415833
135	0.428429744
136	0.4281771768
137	0.4280075341
138	0.4275334499
139	0.4272643176
140	0.426795557
141	0.4264297081
142	0.4260596321
143	0.4256900818
144	0.4248075169
145	0.4240107771
146	0.4234241171
147	0.4226733751
148	0.4224149047
149	0.421986672
150	0.4215083838
151	0.4208468657
152	0.4204075574
153	0.4200296219
154	0.419437365
155	0.4191360084
156	0.4186553186
157	0.4184084828
158	0.4180120678
159	0.4174932003
160	0.4172258397
161	0.4170170635
162	0.4164711819
163	0.4162348612
164	0.4156394783
165	0.4154563827
166	0.4151895193
167	0.4146791548
168	0.4144545866
169	0.4140392044
170	0.4138145299
171	0.4132478021
172	0.4127694295
173	0.4124956733
174	0.4120481161
175	0.4115906821
176	0.4112354458
177	0.410909528
178	0.4106473412
179	0.4101452954
180	0.4095830375
181	0.4092648987
182	0.408928198
183	0.4085821858
184	0.4078660925
185	0.4074305373
186	0.4070968335
187	0.4067843823
188	0.4062836556
189	0.4058019547
190	0.4055804939
191	0.4052616008
192	0.4048193138
193	0.4044153334
194	0.4040278298
195	0.4035439484
196	0.4029144749
197	0.4024267069
198	0.4020297216
199	0.4014030981
200	0.4011081818
201	0.4008468537
202	0.4002179557
203	0.3997997168
204	0.3995795528
205	0.3993050107
206	0.3990046275
207	0.3985855185
208	0.3982785968
209	0.3977917436
210	0.3975746688
211	0.3971927715
212	0.396909104
213	0.3964832395
214	0.3961944339
215	0.3956267867
216	0.3953456873
217	0.3948153722
218	0.3945606754
219	0.3941390492
220	0.3938626291
221	0.3936467492
222	0.3931860262
223	0.3925445277
224	0.3921152476
225	0.3917719894
226	0.3912808889
227	0.3907609021
228	0.3904543709
229	0.3902364868
230	0.3899403742
231	0.3895642499
232	0.3893079004
233	0.3887624731
234	0.388413327
235	0.3880488647
236	0.3877986018
237	0.3874653
238	0.3870957711
239	0.3866661181
240	0.3863092825
241	0.385963919
242	0.3856373944
243	0.3852414739
244	0.384843443
245	0.3844859496
246	0.3843405191
247	0.3840390345
248	0.3837254964
249	0.3835219701
250	0.3830308941
251	0.3827430237
252	0.3823965903
253	0.3821063074
254	0.3817022522
255	0.3812913423
256	0.3808856822
257	0.380542227
258	0.3802671435
259	0.3799809315
260	0.3796568202
261	0.3793841221
262	0.3790096583
263	0.3787541356
264	0.3784096448
265	0.3781707556
266	0.3778603665
267	0.3776385273
268	0.3772756719
269	0.376843594
270	0.3765668268
271	0.3762900727
272	0.3760453906
273	0.3758294511
274	0.3755255195
275	0.3752752181
276	0.3750862115
277	0.3746758335
278	0.3743638738
279	0.3738093625
280	0.373408766
281	0.3732066406
282	0.3729640206
283	0.3727223785
284	0.3724277191
285	0.3722876213
286	0.3719110701
287	0.3715921604
288	0.3713718419
289	0.371072471
290	0.3708691814
291	0.3704795685
292	0.3702782538
293	0.3699831875
294	0.3696834914
295	0.3693131639
296	0.3690388828
297	0.3687025931
298	0.3685111688
299	0.3681813126
300	0.3677905875
301	0.3675960434
302	0.367402711
303	0.3671473392
304	0.3668930778
305	0.3667013498
306	0.3663445768
307	0.3658594129
308	0.3655790816
309	0.3653408398
310	0.3650280069
311	0.3648044673
312	0.3645972477
313	0.364345005
