iter	Passed	Remaining
0	34	69929
1	41	41816
2	48	32502
3	60	29942
4	72	28920
5	87	28936
6	94	26888
7	101	25185
8	107	23875
9	115	22903
10	120	21774
11	129	21519
12	136	20848
13	143	20394
14	150	19871
15	156	19382
16	161	18878
17	168	18555
18	174	18237
19	180	17896
20	186	17611
21	192	17317
22	198	17069
23	204	16855
24	210	16667
25	217	16519
26	223	16312
27	229	16135
28	235	16015
29	241	15890
30	248	15780
31	255	15696
32	262	15630
33	269	15559
34	275	15494
35	282	15424
36	289	15347
37	295	15257
38	301	15177
39	311	15240
40	317	15166
41	323	15098
42	330	15035
43	335	14926
44	342	14863
45	349	14848
46	355	14785
47	361	14705
48	367	14629
49	374	14591
50	380	14529
51	385	14454
52	392	14402
53	398	14352
54	404	14301
55	412	14319
56	418	14265
57	424	14227
58	431	14201
59	437	14161
60	445	14154
61	451	14120
62	457	14079
63	464	14055
64	470	14018
65	477	13992
66	482	13930
67	488	13890
68	494	13849
69	501	13815
70	507	13782
71	513	13747
72	519	13710
73	525	13680
74	532	13667
75	538	13620
76	543	13583
77	549	13550
78	555	13508
79	562	13502
80	569	13502
81	576	13474
82	584	13492
83	593	13543
84	600	13521
85	606	13495
86	612	13475
87	619	13455
88	625	13439
89	632	13430
90	638	13401
91	645	13381
92	651	13365
93	657	13339
94	664	13333
95	671	13309
96	677	13283
97	683	13257
98	688	13228
99	695	13207
100	700	13178
101	706	13154
102	712	13125
103	718	13098
104	724	13082
105	731	13073
106	738	13056
107	743	13030
108	749	13006
109	755	12985
110	761	12961
111	768	12958
112	774	12938
113	781	12923
114	787	12912
115	793	12895
116	799	12870
117	805	12853
118	812	12839
119	818	12819
120	824	12805
121	830	12780
122	836	12758
123	841	12736
124	848	12724
125	854	12702
126	859	12682
127	866	12679
128	873	12663
129	878	12641
130	884	12621
131	890	12599
132	896	12585
133	903	12580
134	909	12569
135	916	12562
136	923	12552
137	929	12539
138	935	12526
139	941	12512
140	948	12500
141	954	12490
142	960	12475
143	967	12471
144	973	12457
145	979	12444
146	986	12431
147	992	12419
148	998	12404
149	1005	12397
150	1013	12413
151	1022	12425
152	1030	12441
153	1040	12467
154	1048	12478
155	1056	12484
156	1064	12497
157	1071	12494
158	1079	12494
159	1087	12502
160	1094	12496
161	1100	12488
162	1107	12479
163	1114	12477
164	1121	12473
165	1128	12465
166	1134	12453
167	1141	12445
168	1147	12431
169	1153	12420
170	1159	12406
171	1166	12401
172	1173	12391
173	1179	12382
174	1186	12374
175	1193	12367
176	1200	12360
177	1206	12349
178	1212	12337
179	1218	12324
180	1224	12310
181	1231	12297
182	1237	12288
183	1244	12278
184	1250	12268
185	1256	12256
186	1263	12247
187	1270	12241
188	1276	12232
189	1283	12222
190	1289	12210
191	1297	12213
192	1304	12217
193	1312	12218
194	1320	12222
195	1327	12216
196	1334	12213
197	1342	12215
198	1351	12228
199	1360	12248
200	1368	12250
201	1378	12266
202	1385	12266
203	1392	12260
204	1400	12261
205	1408	12265
206	1416	12267
207	1423	12264
208	1430	12262
209	1438	12262
210	1445	12257
211	1453	12257
212	1460	12252
213	1467	12248
214	1473	12237
215	1482	12245
216	1489	12241
217	1496	12236
218	1503	12227
219	1510	12220
220	1517	12215
221	1524	12205
222	1530	12197
223	1537	12188
224	1543	12172
225	1549	12164
226	1556	12155
227	1563	12151
228	1570	12142
229	1578	12143
230	1585	12139
231	1591	12128
232	1598	12121
233	1604	12110
234	1610	12096
235	1617	12091
236	1623	12080
237	1630	12072
238	1638	12070
239	1645	12066
240	1651	12056
241	1658	12047
242	1664	12037
243	1671	12026
244	1677	12018
245	1684	12008
246	1690	11997
247	1697	11988
248	1702	11975
249	1709	11963
250	1715	11954
251	1721	11943
252	1728	11932
253	1734	11923
254	1740	11912
255	1747	11904
256	1754	11898
257	1760	11889
258	1767	11879
259	1774	11872
260	1780	11863
261	1787	11859
262	1794	11849
263	1800	11837
264	1807	11831
265	1813	11823
