iter	RMSE
0	0.9307040534
1	0.9169548109
2	0.9040079904
3	0.8909649092
4	0.8783361665
5	0.8661836694
6	0.8536649838
7	0.8421847344
8	0.8305380608
9	0.8193717489
10	0.8090867382
11	0.7988823625
12	0.7882784217
13	0.7783475711
14	0.7690073155
15	0.7598141641
16	0.7503915106
17	0.7415742061
18	0.7335840274
19	0.7256458058
20	0.7173721932
21	0.709687034
22	0.7023166677
23	0.6941186335
24	0.6870619542
25	0.6798635857
26	0.6733954624
27	0.666235479
28	0.659913524
29	0.6528177102
30	0.6466007967
31	0.6409420372
32	0.6351771015
33	0.6295501476
34	0.6239534236
35	0.6184176472
36	0.6132250091
37	0.60795076
38	0.6028614188
39	0.5982507225
40	0.5939042795
41	0.5896379738
42	0.5850179664
43	0.5804696054
44	0.5767631248
45	0.5723569703
46	0.5684356384
47	0.56431451
48	0.5603691723
49	0.5566151349
50	0.5530828163
51	0.5497848338
52	0.5464984826
53	0.5429022199
54	0.5398781224
55	0.5368721089
56	0.5341076071
57	0.5312875321
58	0.5286551142
59	0.5260437684
60	0.523590187
61	0.5209438112
62	0.518163848
63	0.5157663967
64	0.5135312128
65	0.5114102334
66	0.5091061349
67	0.5073015387
68	0.5052484692
69	0.5031949016
70	0.5010682075
71	0.4990091445
72	0.4973583929
73	0.4954263856
74	0.4938207962
75	0.4921200813
76	0.4905200216
77	0.4890026373
78	0.4873122956
79	0.4855482805
80	0.483862228
81	0.4821597794
82	0.480717821
83	0.4793556204
84	0.477907831
85	0.4765226036
86	0.4751056646
87	0.4737337399
88	0.4722398962
89	0.4709543754
90	0.4696068961
91	0.4686302807
92	0.4676152032
93	0.466721852
94	0.4654315258
95	0.4643188281
96	0.4632671902
97	0.4623345854
98	0.4613583513
99	0.4604400054
100	0.459233519
101	0.4580636824
102	0.4570302998
103	0.4561824118
104	0.4552811848
105	0.4544499332
106	0.4532812133
107	0.4525081943
108	0.4518529664
109	0.4510037189
110	0.4500857536
111	0.4493324465
112	0.4485695804
113	0.4475976356
114	0.4466482113
115	0.445801908
116	0.4449960214
117	0.4443275388
118	0.4435676322
119	0.4428591627
120	0.4421112645
121	0.4414774504
122	0.4406516242
123	0.4401250653
124	0.4391956466
125	0.4386402053
126	0.4379829602
127	0.4373381322
128	0.4367170608
129	0.4362451996
130	0.435793582
131	0.4352871467
132	0.4346731649
133	0.4340525121
134	0.4336265103
135	0.4330821187
136	0.4326221025
137	0.4320684784
138	0.4315881703
139	0.4310075998
140	0.4305226514
141	0.4300996322
142	0.4295468319
143	0.4291264504
144	0.4287305517
145	0.428128836
146	0.42763995
147	0.4272243412
148	0.4267697201
149	0.4263874848
150	0.4260747016
151	0.4256729319
152	0.4252732047
153	0.4248455232
154	0.4244816837
155	0.4241395455
156	0.4237207704
157	0.4232441352
158	0.4227976113
159	0.4223872121
160	0.4221102362
161	0.421634573
162	0.4211925958
163	0.42088051
164	0.4204555453
165	0.4201108834
166	0.419799012
167	0.4195475528
168	0.4192170305
169	0.4190021763
170	0.4187225601
171	0.4184232984
172	0.4181103595
173	0.4177390681
174	0.417426048
175	0.4171826405
176	0.4168717771
177	0.4166294577
178	0.4163386453
179	0.4159732726
180	0.415688595
181	0.4154553622
182	0.4152265332
183	0.4150163623
184	0.414658378
185	0.4143229817
186	0.4140941653
187	0.4136946032
188	0.4134774428
189	0.4131969255
190	0.412804801
191	0.4123167022
192	0.4118255533
193	0.4115127329
194	0.4112214736
195	0.4108847611
196	0.4105103392
197	0.4102960554
198	0.4100711287
199	0.4095979222
200	0.4092867446
201	0.4090255971
202	0.408748217
203	0.4084172572
204	0.4082126935
205	0.4077598245
206	0.4074310548
207	0.4072608437
208	0.4069286888
209	0.4066723144
210	0.406535821
211	0.4061916893
212	0.4059632147
213	0.405715839
214	0.4055082162
215	0.4053192649
216	0.4049508568
217	0.4047306317
218	0.4044115097
219	0.4041553295
220	0.4038847872
221	0.4036881209
222	0.4034039135
223	0.4030320817
224	0.4027118796
225	0.4024211306
226	0.4022313232
227	0.4018217447
228	0.4016158328
229	0.4011722418
230	0.4010050141
231	0.4006575788
232	0.4003026201
233	0.400133365
234	0.3999587264
235	0.3996707667
236	0.3994525069
237	0.3990038034
238	0.3987513691
239	0.3985521987
240	0.398386868
241	0.3980379957
242	0.3978728336
243	0.3977049781
244	0.3975224584
245	0.3973020364
246	0.3970360514
247	0.3968374777
